LINE 63 260 96 87 9855
LINE 242 227 83 93 947
RECTANGLE 148 183 92 87 12566
RECTANGLE 112 85 62 81 3869
LINE 60 58 99 67 4193
OVAL 129 180 66 94 6600
RECTANGLE 53 280 58 97 21329
LINE 122 201 99 80 13838
OVAL 148 208 74 63 16467
RECTANGLE 55 280 94 80 9286
LINE 102 275 66 82 8714
RECTANGLE 238 120 96 94 819
LINE 289 96 80 79 9633
RECTANGLE 200 163 91 99 11103
LINE 120 228 72 78 20728
OVAL 271 216 89 71 2258
LINE 270 109 66 87 1746
OVAL 246 243 63 80 3509
RECTANGLE 186 86 78 95 23353
LINE 209 65 70 84 15411
RECTANGLE 181 93 91 70 18839
LINE 234 256 74 87 18059
OVAL 192 107 72 94 12315
